zone_id,id,landuse,name
46244855,46244855,residential,Prestige Kensington Gardens
46245005,46245005,residential,Prestige Wellington Park
46251254,46251254,residential,MTRDC Enclave
46554633,46554633,residential,Canopy Apartments
46922189,46922189,residential,Golden Grand
48396748,48396748,residential,Mahaveer Kings Place Apartments
50891866,50891866,residential,CPRI Staff Colony
51130872,51130872,residential,Sethna Power Tower
51868686,51868686,commercial,JP Techno Parks
52033438,52033438,commercial,nan
52033918,52033918,commercial,nan
52050266,52050266,commercial,New Public Offices
52050275,52050275,commercial,nan
52059209,52059209,commercial,nan
52063527,52063527,commercial,nan
52242929,52242929,commercial,Basava Bhavan
52244612,52244612,commercial,nan
52244622,52244622,residential,nan
52244638,52244638,commercial,Aravind Bhavan
52245042,52245042,commercial,nan
52246043,52246043,commercial,nan
52246045,52246045,commercial,nan
52464006,52464006,residential,Akshaya
53264749,53264749,commercial,nan
53849357,53849357,residential,Police Quarters
53859282,53859282,residential,Railway Quarters
56180200,56180200,commercial,Centre for Development of Advanced Computing
57885751,57885751,commercial,Raheja Plaza
58517044,58517044,residential,Police Quarters
59358775,59358775,commercial,nan
60118137,60118137,residential,Vijaya Bank Colony
63707694,63707694,residential,Rohan Vasantha
68680160,68680160,residential,DSR Green Vista
70807228,70807228,residential,Purva Rivera
70809516,70809516,commercial,BSNL Telephone Exchange and CSC
73954248,73954248,commercial,Genisys
73954250,73954250,commercial,Molex Toolking India
82432653,82432653,residential,Rail Wheel Factory West Colony
82486702,82486702,residential,Mahaveer Regal Apartments
83231745,83231745,commercial,Bhoruka Tech Park
83356936,83356936,residential,SMR Vinay Galaxy
83694092,83694092,residential,DNA Oaksville
83694285,83694285,residential,Casa Gopalan
84086381,84086381,commercial,L&T Mind Tree
84271198,84271198,residential,Total Environment Windmills Of Your Mind
84514506,84514506,residential,Gopalan Grandeur
84514507,84514507,residential,Golden Star
85265737,85265737,residential,Sunnyvale Apartment
85392306,85392306,residential,Sterling Brookside
85568486,85568486,residential,Orchid Woods
86309369,86309369,residential,Vasvani Bella Vista Villas
86310221,86310221,commercial,B.S.A. Tech Park
89797678,89797678,residential,Golden Blossom
89932989,89932989,residential,Vaswani Pinnacle
89933144,89933144,residential,Sobha Rose
89933436,89933436,residential,Brigade Harmony
89933990,89933990,residential,Spectra Cypress
89934224,89934224,residential,Sumadhura Sandoval
89934530,89934530,residential,Gayatri Ocean Blues
89935112,89935112,residential,Vishnu Residency
90177974,90177974,residential,NCC Maple Heights
90178625,90178625,residential,DSR Elite
90292572,90292572,residential,UKN Esperanza
90298952,90298952,residential,Maangalya Suryodaya
90300009,90300009,residential,Oasis Breeze Apartments
90389093,90389093,residential,Purva Parkridge Villas
90816891,90816891,residential,Sobha Dahlia
90816893,90816893,residential,Sobha Carnation
90817457,90817457,residential,Sobha Mayflower
90817790,90817790,residential,Sobha Jasmine
90957022,90957022,residential,Salarpuria Sanctity
90999557,90999557,residential,SJR Brooklyn
91000291,91000291,residential,AKME Encore
91237236,91237236,commercial,Bagmane World Technology Center
91374395,91374395,commercial,ITC Gardenia Royal
93023034,93023034,residential,Adarsh Palm Meadows
93210953,93210953,residential,Arya Lotus Apartments
93211238,93211238,residential,Ittina Anu
93340455,93340455,residential,Renaissance Jagriti
93712855,93712855,residential,TATA Sherwood Apartments
93715006,93715006,residential,Vijetha Elysium
93715439,93715439,residential,Chaitanya Oakville Villas
93716004,93716004,residential,Hyde Park Villas
93719029,93719029,residential,Jatti Dwarakamai Villas
93738604,93738604,residential,Ittina Arni Apartments
93887340,93887340,commercial,RMZ Titanium
94119915,94119915,residential,Keerthi Signature
94125754,94125754,residential,Citilights Rustique Apartments
94126062,94126062,residential,Prestige Bougainvillea
94685714,94685714,commercial,Tesco
94711583,94711583,residential,Nitesh Hyde Park Apartments
94712245,94712245,residential,Mantri Residency
94718540,94718540,residential,Prestige Notting Hill
94719031,94719031,residential,Klassik Benchmark
94728213,94728213,residential,Purva Skywood Apartments
94947648,94947648,residential,Mahaveer Ridge Apartments
94959297,94959297,residential,Sobha Suncrest Apartments
94960539,94960539,residential,Sobha Sunscape Apartments
94961207,94961207,residential,Sobha Forest View Apartments
95214236,95214236,residential,Sumadhura Anandam
95384317,95384317,residential,Sobha Sunbeam-I Apartments
95384464,95384464,residential,Sobha Sunbeam-II Apartments
95384729,95384729,residential,Sobha Chrysanthemum Apartments
95385125,95385125,residential,Sobha Ruby Apartments
95385691,95385691,residential,Sobha Althea Apartments
95385956,95385956,residential,Sobha Azalea Row Houses
95507930,95507930,residential,Pebble Bay Apartments
95508167,95508167,residential,Whispering Meadows Apartments
95639943,95639943,commercial,TATA Xylem
95799812,95799812,residential,Ranka Heights Apartments
95799861,95799861,residential,Ranka Nest Apartments
96542822,96542822,residential,Vaswani Bel Air Villas
96567778,96567778,residential,Mahaveer Marvel Apartments
96568555,96568555,residential,Radiant Enclave Apartments
96682580,96682580,residential,Renaissance Temple Bells Apartments
96707218,96707218,residential,Godrej Woodsman Estate Apartments
96710695,96710695,residential,Kendriya Vihar Apartments
96778576,96778576,residential,Nitesh Central Park Apartments
96787265,96787265,commercial,Khanija Bhavan
97062992,97062992,residential,Mantri Tranquil Apartments
97087325,97087325,residential,Suraj Ganga Socrates Apartments
97087564,97087564,residential,Mantri Paradise
97088324,97088324,residential,Mantri Terrace Apartments
97088785,97088785,residential,Epitome Crowne Apartments
97200163,97200163,residential,Kristal Dolomite Apartments
97200383,97200383,residential,Gopalan Jewels Apartments
97200523,97200523,residential,Gopalan Temple Trees Apartments
97200573,97200573,residential,Purva Belmont Apartments
97200646,97200646,residential,NCC Nagarjuna Premier Apartments
97200769,97200769,residential,Maya Indraprastha Apartments
97210062,97210062,residential,Ranka Corner Apartments
97215870,97215870,residential,Sterling Sharda Nivas
97215871,97215871,residential,Gopalan Admiralty Square Apartments
97215872,97215872,residential,Gopalan Manor Apartments
97215874,97215874,residential,Gopalan Admiralty Avenue Apartments
97343843,97343843,residential,SJR Luxuria Apartments
97374147,97374147,residential,Gopalan Urban Woods Row Houses
97557678,97557678,residential,Sobha Cinnamon & Sobha Saffron
97676801,97676801,residential,nan
97676940,97676940,residential,Oxford Manor Flats
97846124,97846124,residential,Rohan Mihira
97991407,97991407,residential,Sun City Euphoria
100584019,100584019,commercial,Regent Gateway
101345895,101345895,residential,Prestige Ozone
101346040,101346040,residential,Nusa Dua
101573097,101573097,residential,Rainbow Drive Layout
101677661,101677661,residential,Sumadhura Sawan
101966136,101966136,commercial,RMZ Infinity
101966149,101966149,commercial,Salarapuria Nova
102934591,102934591,residential,Skylark Arcadia Villas
104963266,104963266,residential,Vithola Apartments
105018167,105018167,residential,Rohan Ashima Apartments
105201140,105201140,residential,Indus Signature Apartments
105318891,105318891,residential,ISRO Quarters
105318893,105318893,residential,DCA Quarters
105318895,105318895,residential,BDA MIG Flats
105318896,105318896,residential,ISRO Newland Housing Colony
105318899,105318899,residential,DAD Quarters
105322106,105322106,commercial,Sasken
105322146,105322146,residential,Orchard Green
105322161,105322161,residential,Victorian Haven Apartments
107240640,107240640,commercial,JW Marriott
111087597,111087597,residential,Surakshaa Fair View Ville
111563731,111563731,residential,ND Passion Apartments
111564222,111564222,residential,Sobha Daffodil Apartments
112143823,112143823,residential,Vanshee Richfields
112243713,112243713,residential,nan
112380259,112380259,residential,nan
112380272,112380272,residential,nan
112462013,112462013,residential,"Police Quarters, Jakkasandra"
112565251,112565251,residential,KempFort Apartments
112579232,112579232,residential,CPWD Quarters
112647576,112647576,commercial,RMZ Millenia
113287087,113287087,residential,nan
113311401,113311401,residential,Pride Apartments
114786294,114786294,residential,Panchavati
115837331,115837331,commercial,Coffee Board of India
116070091,116070091,commercial,DivyaSree NR Enclave
116070394,116070394,commercial,Rajesh Exports Limited
116071523,116071523,commercial,Flowserve
116350203,116350203,residential,Rajarajeshwari Nivasa
116475321,116475321,residential,Meenakshi Residency
116595473,116595473,residential,Mantri Premero
116708075,116708075,residential,Manar Silver Shadow Apartments
116709140,116709140,residential,Golden Woods Row Houses
116709178,116709178,residential,Oceanus Monarda
116709886,116709886,residential,Coronet Green Apartments
117067887,117067887,residential,Gokulam Apartments
117154068,117154068,residential,Sriram Spurthi
117166791,117166791,residential,Sai Poorna High End
117173138,117173138,residential,SLS Serenity Apartments
117313552,117313552,residential,Sterling Shalom
117313586,117313586,commercial,Brigade Tech Gardens
117318672,117318672,residential,Gopalan Aristocrat Apartments
117318695,117318695,residential,Jal Vayu Towers
117340617,117340617,residential,BVL Serene Apartments
117341722,117341722,residential,Satko Palm Tree
117350537,117350537,residential,Skylark Esta
117351176,117351176,residential,Pavani Prestige
117757759,117757759,residential,SJR Watermark
118415617,118415617,residential,HM World City
118895504,118895504,residential,Golden Palms Apartments
118907944,118907944,residential,L&T South City
118927038,118927038,residential,Krishvi Orange Tree
119145155,119145155,residential,Plama Heights Apartments
119330921,119330921,commercial,Tyco Electronics
119980906,119980906,residential,Sraddha Silver Spring
120108487,120108487,residential,Nandi Gardens Apartments (Phase-1)
120108496,120108496,residential,Nandi Garden Apartments (Phase-2)
120108573,120108573,residential,IMG Elite Apartments
120115591,120115591,residential,White Acres Residential Villas
121000806,121000806,commercial,Royal Meenakshi Mall
121004026,121004026,commercial,Honeywell Technology Solutions Lab Pvt Ltd
121004115,121004115,commercial,Kalyani Kalamandira
121005197,121005197,commercial,Salarpuria Symbiosys
121883113,121883113,residential,nan
121981976,121981976,residential,Pashmina Waterfront Apartments
122146913,122146913,residential,nan
122146915,122146915,commercial,Transtree Corporate Guest Houses
122146928,122146928,residential,Deccan Fields
122151911,122151911,residential,SJR Spencer
122270533,122270533,residential,Bhadra Brookefields
122270537,122270537,residential,Sobha Lotus
122278924,122278924,commercial,nan
122278941,122278941,residential,Sobha Daisy
122403366,122403366,commercial,Mindlogix
122403371,122403371,commercial,Maruthi Onyx
122409738,122409738,residential,Citylights Liberty
122424491,122424491,residential,Chaithanya Armadale
122668435,122668435,commercial,Larsen & Toubro Infotech Ltd
122668438,122668438,commercial,Prestige Featherlite Tech Park
122668448,122668448,commercial,nan
122668449,122668449,commercial,Manhattan Associates India Development Center
122668454,122668454,commercial,RMZ Centennial
122668456,122668456,commercial,Microchip Tech Park
122668462,122668462,commercial,nan
122668472,122668472,commercial,Secon Surveys Private Limited
122668477,122668477,commercial,Whitefield Palms
122686412,122686412,residential,Krishna Brookefields
122686415,122686415,residential,Citilights Knights Bridge Apartments
122686448,122686448,residential,Renaissance Rainbow Apartments
122691467,122691467,residential,Gopalan Apartments
122701298,122701298,commercial,Wabtec Corporation
122701299,122701299,commercial,Nethra Tech Park
122701300,122701300,commercial,Adarsh Eco Place
122701301,122701301,commercial,Wabtec Corporation
122701312,122701312,commercial,nan
122737527,122737527,commercial,nan
122737532,122737532,residential,Prestige Shantiniketan Residential Complex
122738032,122738032,residential,Brigade Metropolis
122899909,122899909,residential,Balaji Sapthagiri
122899919,122899919,residential,Prism Sovereign
122900608,122900608,residential,Shraddha Vrindavan Apartments
123103813,123103813,commercial,Fortune Select Trinity
123103814,123103814,commercial,Radha Hometel
123594079,123594079,residential,Karnataka State Reserve Police 9th Battalion
123613244,123613244,commercial,SJR iPark
123613246,123613246,commercial,SAP Labs
123613252,123613252,commercial,Gopalan Global Axis
123613255,123613255,commercial,RMZ NXT
123613260,123613260,commercial,First Technology Place
123613262,123613262,commercial,Lemon Tree Hotel
123613263,123613263,commercial,Ionidea
124079086,124079086,residential,Shriram Spandana Apartments
124079093,124079093,residential,Vayu Vihar
124079095,124079095,residential,nan
124388475,124388475,residential,Madhuranagara Colony
124418328,124418328,commercial,nan
124537328,124537328,residential,nan
124537360,124537360,residential,HAL Employees Quarters
124760636,124760636,commercial,Embassy Icon
124779974,124779974,residential,Purva Highlands Apartments
124779981,124779981,residential,Vakil Garden City
124779986,124779986,residential,Suvidha Retirement Village
124782789,124782789,commercial,nan
124782793,124782793,commercial,nan
125111017,125111017,residential,Trinity Meadows Apartments
125173717,125173717,commercial,nan
128211143,128211143,commercial,Gold Hill Square
128211193,128211193,residential,Alpine Park Apartments
128252510,128252510,commercial,Saroj Square
128510748,128510748,commercial,Domlur BDA Complex
128510770,128510770,commercial,nan
128510771,128510771,residential,BDA Flats
128515251,128515251,residential,nan
128515255,128515255,commercial,nan
128515890,128515890,residential,CPWD Complex
128515892,128515892,residential,nan
128886906,128886906,commercial,BWSSB Malleswaram
129438439,129438439,residential,Nagarjuna Greenridge Apartments
129491516,129491516,residential,Pioneer Fortune Squares
129732438,129732438,residential,Greenwood Regency
130121749,130121749,commercial,Sterlings Mac
130160819,130160819,residential,Presige LakeVista
130510277,130510277,commercial,Hindustan Unilever Research Centre
131284500,131284500,residential,Sadananda Nagar
131487378,131487378,residential,Concorde Midway City Apartments
131610639,131610639,residential,Prestige St. Johns Woods
131663189,131663189,residential,Prestige - The Elgin
132417298,132417298,residential,Chartered Jardin
132782112,132782112,commercial,WeWork Galaxy
133020696,133020696,commercial,Modern Foods
133021451,133021451,residential,Best Apartments
133021679,133021679,commercial,Virtual Logic Systems Pvt. Ltd.
133117257,133117257,commercial,VRL Bus Depot
133117493,133117493,residential,Brigade Gateway
133189469,133189469,residential,Golden Corner
133256306,133256306,commercial,Spar
133296529,133296529,residential,Purva Atria Apartments
133524189,133524189,residential,Purva Fairmont
133524190,133524190,residential,Purva Vantage
133524193,133524193,residential,Vensa Residensy
133630420,133630420,residential,Prestige Waterford
133630422,133630422,residential,Prestige Whistling Palms
133751394,133751394,residential,BTM Residency Phase 2
133752863,133752863,residential,Banashankari Balaji Paradise
133881874,133881874,commercial,Brigade South Parade
133881876,133881876,commercial,BSNL CGM Office
133881878,133881878,commercial,nan
133883061,133883061,commercial,Brigade Twin Towers
133940637,133940637,residential,Kolte Patil Surabhi Apartments
133940681,133940681,residential,Majesitc Residency
133945834,133945834,residential,Jains Prakriti Apartments
134099953,134099953,commercial,ITC
134100146,134100146,commercial,Gopalan Arcade Mall
134195645,134195645,residential,Unitech Deja View
134910209,134910209,residential,Sai Poorna Heights
134987795,134987795,residential,Salarpuria Magnifica Apartments
134987838,134987838,residential,Skyline Atlantis Apartments
135078007,135078007,commercial,"Government Hospital, K.R. Puram"
135167309,135167309,residential,Prestige Park View
135262256,135262256,commercial,nan
135262275,135262275,commercial,nan
135265533,135265533,residential,nan
135266041,135266041,residential,Duo Harmony
135266043,135266043,commercial,George Thangiah Complex East
135271153,135271153,residential,Prestige White Meadows
136052794,136052794,residential,Sai KSD Serenity Apartments
136052795,136052795,residential,Jai Gardenia
136052796,136052796,residential,Shakthi Highlands Apartment
136997475,136997475,commercial,Brigade IRV Center
137068510,137068510,residential,Laughing Waters
137223439,137223439,residential,Regent Place
137772088,137772088,commercial,SJR Primeco Union City
137772257,137772257,commercial,Bio Plus
137775971,137775971,residential,Sai Poorna Paradise Apartments
137776371,137776371,residential,Sraddha Fairmount Apartments
137776431,137776431,residential,SVR Flora Apartments
137804510,137804510,residential,Balaji Elegance
137804511,137804511,residential,MIMS Gulmohar Villas
137804571,137804571,residential,Prestige Palms
137804668,137804668,residential,Spectrum Ambara
137804669,137804669,residential,Swarna Heavens
137812657,137812657,residential,Saranya Sarovar Apartments (u/c)
138123923,138123923,residential,ETA Star The Gardens
138222884,138222884,residential,Brigade Paramount
138222895,138222895,residential,Celestial Greens Apartments
138223970,138223970,residential,Ranka Park Apartments
138290173,138290173,residential,Esteem Heritage Apartments
138290174,138290174,residential,Esteem Park Apartments
138290207,138290207,residential,Sobha Tulip Apartments
138391763,138391763,residential,Skyline City Apartments
138714896,138714896,residential,Dattaprasad Cooperative Apartments
138952985,138952985,residential,Nitesh Caesar's Palace Apartments
138953342,138953342,residential,Mantri Serenity
138991391,138991391,residential,nan
138991394,138991394,commercial,Karnataka State Road Transport Corporation - KSRTC HQ
138991396,138991396,commercial,nan
139238787,139238787,commercial,nan
139372747,139372747,residential,Shanders Springdale
139502949,139502949,residential,Aisshwarya Excellency Apartments
139503153,139503153,residential,Embassy Pristine Apartments
139504303,139504303,residential,Chaithanya Swojas
139635565,139635565,residential,Samhita Rainbow MTB
139639601,139639601,residential,Pavani Oakridge Apartments
140022954,140022954,commercial,Tata Consultancy Services
140235891,140235891,residential,Godrej United
140752857,140752857,residential,"Income Tax Layout, Sadananda Nagar, NGEF Layout"
140872075,140872075,residential,SRK Gardens Apartments
141211672,141211672,residential,August Park Apartments
141211814,141211814,residential,Saimitra Meadows Apartments
141626681,141626681,residential,Salarpuria Sattva Gold Summit Apartments
142141356,142141356,residential,Kumar Prince Town Apartments
142262217,142262217,residential,Oasis Regency Apartments
142262298,142262298,residential,Manish Classic Apartments
142262401,142262401,residential,Manpho Pavilion Apartments
142262525,142262525,residential,Raj Paradise Apartments
142263405,142263405,residential,Esteem Enclave
142374252,142374252,residential,Salarpuria Silverwoods
142374613,142374613,residential,Salarpuria Cambridge Residency
142469141,142469141,residential,Ranka Court Apartments
142740903,142740903,residential,Lakshmi Devi Nagar Slum Board Quarters
143368247,143368247,commercial,nan
144771898,144771898,commercial,St. Patrick's Complex
144771903,144771903,commercial,Richmond Towers
144771904,144771904,commercial,nan
144963286,144963286,residential,Goodwill Appartments
145128188,145128188,commercial,Shell
145130697,145130697,commercial,HM Tech Park
145224051,145224051,residential,Elita Promenade Phase 2
145265487,145265487,residential,Mantri Lakeview
145495707,145495707,commercial,Nandi Infrastructure Corridor Enterprises Ltd.
146202211,146202211,residential,Salapuria Splendor
146202214,146202214,commercial,Old Britannia Headquarters
147230027,147230027,residential,MIMS Rose Dale
147260919,147260919,residential,Sunny Bliss
147268882,147268882,residential,Ushas Apartments
147614265,147614265,residential,Habitat Aster Apartments
148075558,148075558,residential,Sterling Park
148075563,148075563,residential,Beary's Lakeside Habitat
149420817,149420817,commercial,nan
149517584,149517584,residential,Renaissance Park 2
149517585,149517585,residential,Reniassance Park 3
149517592,149517592,residential,Renaissance Park 1
150593034,150593034,residential,SS Felicity Homes
151191144,151191144,residential,SJR Vogue Residences
152426499,152426499,residential,Embassy Heritage Apartments
152426534,152426534,residential,Salarpuria Luxuria Apartments
153929118,153929118,residential,Shriram Suhaana Apartments
154094631,154094631,residential,Adarsh Residency
154662156,154662156,residential,Abshot Layout
155147355,155147355,residential,Shoba Habitech Apartments
155167163,155167163,residential,Cambridge Layout
155272120,155272120,residential,Purva Seasons
155417240,155417240,residential,SV Milan
155417500,155417500,residential,DSR Sunrise Apartments
155417956,155417956,residential,3G Crimson Villas
155973106,155973106,residential,Dodsworth Enclave
156547661,156547661,residential,Meenakshi Classic Apartments
156959704,156959704,commercial,nan
157083018,157083018,residential,KSR Cordelia Apartments
157204431,157204431,residential,Whitefield Ville
157204436,157204436,residential,Balaji Pristine
157835869,157835869,residential,McKinley's Pembrook
158027742,158027742,residential,Ittina Sarva 1 Aparments
158701327,158701327,residential,nan
159031320,159031320,residential,Rahat Gardenia
159853877,159853877,commercial,IOCL Office
159875836,159875836,residential,Chitramala Appartments
160011306,160011306,residential,Sri Devi Anugraha
160326964,160326964,residential,Royal Legend Apartments
160398774,160398774,residential,Canopy Dwellings
163201014,163201014,residential,The Residences
164598328,164598328,residential,Block 1
164598369,164598369,residential,Block 2
164598397,164598397,residential,Block 3
164598428,164598428,residential,Block 4
164598623,164598623,residential,Block 5
166560364,166560364,residential,Pride Picassa
166560434,166560434,residential,nan
166560435,166560435,residential,nan
166560436,166560436,residential,nan
166560437,166560437,residential,nan
166560439,166560439,residential,nan
166560440,166560440,commercial,nan
166560441,166560441,residential,nan
166611418,166611418,residential,Shapoorji Pallonji Parkwest
166611437,166611437,residential,SBI Quarters
168384742,168384742,commercial,Sharana Seva Samaja
168968264,168968264,residential,Oakyard Apartment
169709333,169709333,commercial,Salarpuria Cambridge
169711287,169711287,commercial,Conrad Bengaluru
169801513,169801513,residential,Raheja Arcade
169812187,169812187,residential,Koncept Nest
169814465,169814465,residential,Bindu Anmol Apartments
169816703,169816703,residential,Vaishnavi Paradise
169817244,169817244,residential,Gopalan Residency
169817456,169817456,residential,Bysani Skyway
169817498,169817498,residential,Mantri Gardens
169818351,169818351,commercial,SJM Towers ( Tata Consultancy Services )
169825867,169825867,commercial,Shikshakara Bhavana
169827685,169827685,residential,Trinity Enclave
169827688,169827688,commercial,L & T
170199729,170199729,residential,Reliance Nest
170199731,170199731,residential,Navarathna
170338925,170338925,residential,KHB Flats
172468949,172468949,residential,Purva Fountainsquare
172883335,172883335,commercial,Commercial Tax Offices
172903815,172903815,commercial,nan
172903817,172903817,residential,Field Marshal Cariapa Colony
172920305,172920305,commercial,Jayamahal Palace Hotel
172947356,172947356,commercial,Salarpuria Arena
173006679,173006679,commercial,nan
173006680,173006680,residential,nan
173006682,173006682,commercial,nan
173435203,173435203,commercial,Oberoi Hotel
173435228,173435228,commercial,Taj MG Road
173435229,173435229,residential,nan
173435230,173435230,residential,nan
173470562,173470562,residential,nan
173574697,173574697,commercial,Sharada Towers
173577477,173577477,residential,Gopalan Brindavan Apartments
174038181,174038181,residential,Prestige Ferns Residency
175060857,175060857,commercial,JSS Educational Institutions
175061142,175061142,residential,nan
176068555,176068555,residential,ITC Nitesh Garden Enclave
176341868,176341868,residential,Janapriya Heavens
176342025,176342025,residential,Anria Appartments
176770894,176770894,residential,Candeur Carlisle
177929895,177929895,commercial,nan
178914761,178914761,residential,nan
179640626,179640626,residential,MIMS Springdale Villas
180205464,180205464,residential,Ittina Sarva 2 Apartments
181331890,181331890,commercial,Silver Software
181461600,181461600,commercial,Divyashree Technopark
