zone_id,zone_type,transformer_max_capacity_kw,historical_peak_load_hour,baseline_peak_load_kw
89933144,residential,314.81,19,164.94
89933436,residential,236.69,19,125.98
89933990,residential,403.56,19,218.63
89934224,residential,454.22,19,243.41
89934530,residential,442.27,19,243.69
89935112,residential,225.71,19,145.4
90177974,residential,319.95,19,208.03
90178625,residential,361.33,19,200.33
90292572,residential,230.93,19,131.02
90298952,residential,492.51,19,286.46
90300009,residential,226.88,19,119.73
90389093,residential,301.23,19,203.75
90816891,residential,248.42,19,154.71
90816893,residential,322.16,19,201.86
90817457,residential,304.32,19,183.98
90817790,residential,479.62,19,301.94
90957022,residential,215.22,19,131.92
90999557,residential,212.2,19,144.14
91000291,residential,444.36,19,303.42
91237236,commercial,1537.09,14,828.26
91374395,commercial,1247.32,14,752.56
93023034,residential,266.3,19,149.97
93210953,residential,232.2,19,157.74
93211238,residential,493.29,19,321.58
93340455,residential,348.3,19,211.02
93712855,residential,244.8,19,139.13
93715006,residential,317.26,19,163.69
93715439,residential,450.25,19,308.85
93716004,residential,426.49,19,221.35
93719029,residential,271.54,19,169.92
93738604,residential,344.24,19,182.8
93887340,commercial,1205.52,14,674.53
94119915,residential,357.53,19,182.24
94125754,residential,268.53,19,161.19
94126062,residential,476.12,19,329.89
94685714,commercial,1141.22,14,762.76
94711583,residential,398.44,19,245.4
94712245,residential,410.46,19,265.43
94718540,residential,346.56,19,218.17
94719031,residential,391.77,19,218.21
94728213,residential,202.32,19,132.54
94947648,residential,375.43,19,247.92
94959297,residential,313.85,19,158.08
94960539,residential,372.74,19,224.02
94961207,residential,208.23,19,123.78
95214236,residential,416.06,19,211.71
95384317,residential,482.13,19,320.47
95384464,residential,390.95,19,235.71
95384729,residential,302.3,19,211.36
95385125,residential,247.88,19,168.72
95385691,residential,264.97,19,160.51
95385956,residential,240.81,19,160.5
95507930,residential,440.9,19,234.93
95508167,residential,280.6,19,142.84
95639943,commercial,1518.6,14,948.61
95799812,residential,490.85,19,286.04
95799861,residential,383.99,19,259.84
96542822,residential,416.15,19,233.29
96567778,residential,320.48,19,185.04
96568555,residential,277.07,19,187.24
96682580,residential,347.51,19,184.02
96707218,residential,450.13,19,288.89
96710695,residential,308.48,19,212.79
96778576,residential,442.52,19,299.84
96787265,commercial,1321.97,14,893.18
97062992,residential,271.62,19,145.81
97087325,residential,267.4,19,164.1
97087564,residential,365.47,19,224.75
97088324,residential,297.26,19,190.36
97088785,residential,261.78,19,150.43
97200163,residential,484.45,19,252.12
97200383,residential,383.83,19,222.38
97200523,residential,304.43,19,182.02
97200573,residential,357.31,19,246.07
97200646,residential,286.35,19,187.67
97200769,residential,212.2,19,135.19
97210062,residential,447.54,19,224.61
97215870,residential,214.89,19,113.25
97215871,residential,413.97,19,245.04
97215872,residential,377.27,19,218.48
97215874,residential,242.71,19,122.47
97343843,residential,468.22,19,300.92
97374147,residential,400.11,19,243.96
97557678,residential,473.9,19,297.75
97676801,residential,420.71,19,222.14
97676940,residential,240.76,19,168.39
97846124,residential,386.91,19,221.49
97991407,residential,338.41,19,216.74
100584019,commercial,1459.94,14,756.16
101345895,residential,485.24,19,281.8
101346040,residential,340.49,19,186.61
101573097,residential,250.14,19,153.35
101677661,residential,418.25,19,289.32
101966136,commercial,1507.24,14,1052.44
101966149,commercial,806.3,14,524.35
102934591,residential,327.19,19,212.15
104963266,residential,246.36,19,147.7
105018167,residential,326.87,19,198.13
105201140,residential,417.47,19,238.69
105318891,residential,342.0,19,185.04
105318893,residential,407.51,19,210.23
105318895,residential,273.15,19,143.77
105318896,residential,458.07,19,244.37
105318899,residential,318.68,19,197.81
105322106,commercial,933.91,14,473.86
105322146,residential,230.49,19,117.86
105322161,residential,379.57,19,197.35
107240640,commercial,1516.52,14,842.53
111087597,residential,373.32,19,205.35
111563731,residential,361.36,19,228.23
111564222,residential,476.71,19,285.94
112143823,residential,207.34,19,132.3
112243713,residential,308.42,19,195.97
112380259,residential,354.02,19,233.76
112380272,residential,449.67,19,287.0
112462013,residential,231.65,19,161.23
112565251,residential,269.04,19,137.35
112579232,residential,372.29,19,208.85
112647576,commercial,970.79,14,611.78
113287087,residential,319.04,19,219.08
113311401,residential,359.14,19,200.76
114786294,residential,470.33,19,326.79
115837331,commercial,1118.46,14,747.25
116070091,commercial,1525.71,14,1051.74
116070394,commercial,1778.49,14,995.51
116071523,commercial,1360.16,14,878.69
116350203,residential,381.78,19,223.48
116475321,residential,220.88,19,120.13
116595473,residential,374.06,19,207.22
116708075,residential,404.5,19,260.84
116709140,residential,403.8,19,250.61
116709178,residential,388.51,19,209.07
116709886,residential,492.08,19,327.18
117067887,residential,441.51,19,263.55
117154068,residential,229.55,19,145.1
117166791,residential,390.51,19,229.21
117173138,residential,467.53,19,261.62
117313552,residential,419.23,19,264.53
117313586,commercial,1794.78,14,1008.45
117318672,residential,318.87,19,186.19
117318695,residential,370.75,19,249.3
117340617,residential,494.29,19,281.08
117341722,residential,318.56,19,209.88
117350537,residential,285.93,19,151.3
117351176,residential,385.84,19,193.71
117757759,residential,266.99,19,170.9
118415617,residential,371.7,19,240.6
118895504,residential,222.05,19,113.18
118907944,residential,404.96,19,247.33
118927038,residential,493.93,19,290.75
119145155,residential,420.78,19,249.09
119330921,commercial,825.98,14,546.7
119980906,residential,373.09,19,219.36
120108487,residential,277.22,19,149.9
120108496,residential,201.2,19,117.07
120108573,residential,437.49,19,287.47
120115591,residential,351.55,19,209.59
121000806,commercial,1330.84,14,805.37
121004026,commercial,1282.44,14,884.15
121004115,commercial,889.74,14,583.99
121005197,commercial,872.98,14,450.98
121883113,residential,293.47,19,194.68
121981976,residential,350.18,19,187.21
122146913,residential,424.57,19,240.62
122146915,commercial,1415.84,14,759.21
122146928,residential,479.89,19,253.19
122151911,residential,465.05,19,282.67
122270533,residential,264.23,19,156.4
122270537,residential,349.65,19,196.53
122278924,commercial,1929.65,14,999.55
122278941,residential,349.23,19,217.78
122403366,commercial,1877.68,14,1231.19
122403371,commercial,1143.63,14,603.01
122409738,residential,338.79,19,187.24
122424491,residential,271.22,19,141.55
122668435,commercial,1194.32,14,643.91
122668438,commercial,1193.74,14,829.35
122668448,commercial,1903.66,14,1022.82
122668449,commercial,1683.63,14,1125.38
122668454,commercial,1868.49,14,1214.89
122668456,commercial,1980.22,14,1250.96
122668462,commercial,1482.57,14,923.32
122668472,commercial,1890.56,14,1027.83
122668477,commercial,1854.44,14,1039.38
122686412,residential,211.96,19,145.76
122686415,residential,495.07,19,312.02
122686448,residential,400.73,19,202.17
122691467,residential,422.11,19,294.39
122701298,commercial,1309.68,14,659.77
122701299,commercial,901.2,14,514.98
122701300,commercial,1661.77,14,1111.05
122701301,commercial,1211.81,14,626.23
122701312,commercial,1582.22,14,1060.21
122737527,commercial,1936.19,14,1301.03
122737532,residential,227.07,19,128.47
122738032,residential,498.33,19,257.12
122899909,residential,240.65,19,151.42
122899919,residential,343.29,19,234.66
122900608,residential,466.16,19,253.52
123103813,commercial,1834.69,14,1282.09
123103814,commercial,941.14,14,634.19
123594079,residential,497.03,19,252.29
123613244,commercial,1018.85,14,600.5
123613246,commercial,1493.54,14,947.63
123613252,commercial,1406.05,14,840.6
123613255,commercial,1768.42,14,1212.58
123613260,commercial,1515.17,14,822.19
123613262,commercial,823.92,14,508.91
123613263,commercial,1807.78,14,1201.96
124079086,residential,393.93,19,226.58
124079093,residential,499.2,19,285.0
124079095,residential,456.24,19,262.5
124388475,residential,482.65,19,279.46
124418328,commercial,999.38,14,674.8
124537328,residential,390.3,19,265.81
124537360,residential,306.54,19,190.67
124760636,commercial,988.21,14,571.41
124779974,residential,377.0,19,231.54
124779981,residential,250.37,19,128.92
124779986,residential,497.68,19,346.7
124782789,commercial,1687.7,14,1099.48
124782793,commercial,948.5,14,558.05
125111017,residential,477.36,19,316.26
125173717,commercial,1994.54,14,1100.47
128211143,commercial,1200.83,14,692.43
128211193,residential,409.88,19,280.3
128252510,commercial,1877.07,14,1033.27
128510748,commercial,1180.32,14,821.73
128510770,commercial,1823.66,14,1195.59
128510771,residential,328.44,19,209.33
128515251,residential,245.53,19,133.95
128515255,commercial,1289.58,14,664.28
128515890,residential,434.54,19,222.54
128515892,residential,375.98,19,206.37
128886906,commercial,825.05,14,523.04
129438439,residential,466.26,19,323.32
129491516,residential,401.85,19,250.92
129732438,residential,219.66,19,138.79
130121749,commercial,1184.51,14,610.29
130160819,residential,309.19,19,161.59
130510277,commercial,1131.72,14,670.74
131284500,residential,293.04,19,151.73
131487378,residential,334.59,19,227.94
131610639,residential,494.21,19,264.64
131663189,residential,236.16,19,136.77
132417298,residential,449.6,19,280.47
132782112,commercial,1654.01,14,1020.51
133020696,commercial,1654.39,14,934.9
133021451,residential,482.31,19,317.69
133021679,commercial,1549.02,14,853.45
133117257,commercial,1709.61,14,1115.51
133117493,residential,415.19,19,226.4
133189469,residential,475.42,19,273.85
133256306,commercial,1102.72,14,646.98
133296529,residential,406.88,19,205.5
133524189,residential,253.06,19,150.87
133524190,residential,448.35,19,311.56
133524193,residential,309.44,19,157.43
133630420,residential,458.19,19,271.06
133630422,residential,477.95,19,293.29
133751394,residential,472.21,19,261.58
133752863,residential,298.18,19,203.25
133881874,commercial,1860.89,14,1259.71
133881876,commercial,1350.34,14,748.05
133881878,commercial,1109.51,14,659.97
133883061,commercial,1300.54,14,698.59
133940637,residential,489.58,19,275.53
133940681,residential,440.09,19,307.5
133945834,residential,250.04,19,151.74
134099953,commercial,875.31,14,521.2
134100146,commercial,1871.13,14,1247.29
134195645,residential,397.22,19,208.33
134910209,residential,317.23,19,166.7
134987795,residential,215.34,19,131.89
134987838,residential,310.85,19,185.77
135078007,commercial,1361.74,14,923.78
135167309,residential,347.25,19,236.19
135262256,commercial,897.35,14,473.35
135262275,commercial,1301.8,14,796.2
135265533,residential,224.81,19,118.73
135266041,residential,368.58,19,206.36
135266043,commercial,1215.72,14,844.1
135271153,residential,439.39,19,246.18
136052794,residential,465.33,19,292.57
136052795,residential,301.66,19,193.04
136052796,residential,378.39,19,195.66
136997475,commercial,1197.63,14,667.28
137068510,residential,256.21,19,159.15
137223439,residential,369.21,19,224.48
137772088,commercial,1334.89,14,727.67
137772257,commercial,1005.96,14,556.74
137775971,residential,414.67,19,263.37
137776371,residential,303.53,19,176.31
137776431,residential,276.14,19,153.54
137804510,residential,487.45,19,286.08
137804511,residential,401.44,19,223.37
137804571,residential,346.76,19,239.46
137804668,residential,200.75,19,116.54
137804669,residential,328.06,19,205.38
137812657,residential,235.93,19,159.02
138123923,residential,372.52,19,213.34
138222884,residential,496.14,19,340.19
138222895,residential,447.52,19,284.99
138223970,residential,280.91,19,151.69
138290173,residential,471.38,19,321.27
138290174,residential,351.14,19,188.55
138290207,residential,301.47,19,175.62
138391763,residential,414.37,19,212.84
138714896,residential,368.93,19,195.05
138952985,residential,356.45,19,214.82
138953342,residential,462.87,19,283.66
138991391,residential,291.26,19,202.9
138991394,commercial,1898.0,14,1286.39
138991396,commercial,988.85,14,532.82
139238787,commercial,918.32,14,599.63
139372747,residential,398.99,19,231.39
139502949,residential,449.77,19,304.25
139503153,residential,438.71,19,244.81
139504303,residential,488.01,19,329.4
139635565,residential,245.4,19,157.28
139639601,residential,487.52,19,293.14
140022954,commercial,1264.25,14,715.31
140235891,residential,490.83,19,329.07
140752857,residential,476.95,19,293.89
140872075,residential,419.59,19,238.49
141211672,residential,247.55,19,145.3
141211814,residential,254.69,19,175.6
141626681,residential,246.7,19,130.89
142141356,residential,227.91,19,133.79
142262217,residential,282.05,19,160.65
142262298,residential,243.87,19,133.15
142262401,residential,271.17,19,149.06
142262525,residential,209.34,19,131.47
142263405,residential,353.42,19,218.75
142374252,residential,297.65,19,189.08
142374613,residential,351.72,19,227.92
142469141,residential,246.0,19,150.15
142740903,residential,265.65,19,154.7
143368247,commercial,1117.9,14,618.64
144771898,commercial,1356.44,14,770.46
144771903,commercial,1096.17,14,607.6
144771904,commercial,813.35,14,449.58
144963286,residential,351.26,19,228.53
145128188,commercial,889.77,14,551.59
145130697,commercial,1996.45,14,1189.09
145224051,residential,243.3,19,160.37
145265487,residential,248.15,19,167.96
145495707,commercial,1097.41,14,577.15
146202211,residential,341.05,19,208.62
146202214,commercial,1042.75,14,617.47
147230027,residential,253.27,19,151.03
147260919,residential,246.59,19,123.86
147268882,residential,306.36,19,193.82
147614265,residential,469.85,19,277.64
148075558,residential,384.44,19,238.48
148075563,residential,260.52,19,156.76
149420817,commercial,1082.76,14,669.78
149517584,residential,396.7,19,271.35
149517585,residential,268.69,19,149.85
149517592,residential,457.22,19,311.62
150593034,residential,368.58,19,194.11
151191144,residential,388.71,19,263.35
152426499,residential,390.44,19,251.06
152426534,residential,472.93,19,292.76
153929118,residential,307.6,19,171.64
154094631,residential,493.54,19,344.08
154662156,residential,466.51,19,246.48
155147355,residential,328.66,19,165.46
155167163,residential,349.51,19,199.35
155272120,residential,231.33,19,146.21
155417240,residential,202.44,19,113.4
155417500,residential,383.55,19,259.26
155417956,residential,233.2,19,153.41
155973106,residential,387.0,19,200.21
156547661,residential,316.48,19,164.31
156959704,commercial,973.75,14,504.8
157083018,residential,274.05,19,184.03
157204431,residential,288.9,19,158.82
157204436,residential,390.42,19,200.93
157835869,residential,415.43,19,279.9
158027742,residential,393.94,19,230.44
158701327,residential,220.4,19,110.72
159031320,residential,219.77,19,114.01
159853877,commercial,1310.87,14,811.7
159875836,residential,285.34,19,190.23
160011306,residential,377.54,19,196.55
160326964,residential,318.05,19,160.34
160398774,residential,212.37,19,148.33
163201014,residential,372.56,19,233.1
164598328,residential,290.67,19,161.21
164598369,residential,263.77,19,134.09
164598397,residential,443.95,19,280.22
164598428,residential,228.24,19,146.37
164598623,residential,245.25,19,135.5
166560364,residential,220.03,19,127.32
166560434,residential,366.59,19,245.22
166560435,residential,410.22,19,238.44
166560436,residential,402.65,19,279.51
166560437,residential,396.4,19,224.44
166560439,residential,316.33,19,208.93
166560440,commercial,1172.79,14,601.37
166560441,residential,238.81,19,120.73
166611418,residential,229.05,19,135.98
166611437,residential,409.35,19,206.61
168384742,commercial,1000.03,14,645.12
168968264,residential,480.68,19,245.68
169709333,commercial,1647.67,14,1052.88
169711287,commercial,1142.72,14,578.78
169801513,residential,263.98,19,143.46
169812187,residential,203.11,19,120.92
169814465,residential,266.74,19,142.36
169816703,residential,498.31,19,315.57
169817244,residential,281.86,19,172.22
169817456,residential,202.87,19,127.03
169817498,residential,426.95,19,222.74
169818351,commercial,1044.05,14,525.95
169825867,commercial,924.89,14,575.34
169827685,residential,292.16,19,159.16
169827688,commercial,1424.39,14,867.71
170199729,residential,361.9,19,213.66
170199731,residential,354.06,19,243.95
170338925,residential,257.2,19,155.11
172468949,residential,389.76,19,270.33
172883335,commercial,1886.13,14,1106.71
172903815,commercial,1865.66,14,964.92
172903817,residential,359.16,19,184.68
172920305,commercial,1292.28,14,852.76
172947356,commercial,874.22,14,519.61
173006679,commercial,1170.3,14,599.14
173006680,residential,313.75,19,207.84
173006682,commercial,1139.59,14,663.76
173435203,commercial,839.75,14,461.66
173435228,commercial,1624.75,14,1022.14
173435229,residential,451.51,19,248.4
173435230,residential,452.72,19,293.11
173470562,residential,320.32,19,223.61
173574697,commercial,1539.61,14,815.94
173577477,residential,494.55,19,262.61
174038181,residential,206.42,19,110.62
175060857,commercial,1485.0,14,942.38
175061142,residential,325.62,19,205.85
176068555,residential,377.35,19,263.47
176341868,residential,484.16,19,277.36
176342025,residential,343.36,19,205.86
176770894,residential,404.92,19,225.35
177929895,commercial,1750.64,14,883.68
178914761,residential,352.04,19,239.17
179640626,residential,230.7,19,135.03
180205464,residential,387.28,19,198.13
181331890,commercial,1758.69,14,1124.14
181461600,commercial,1673.29,14,979.45
181466412,commercial,1682.98,14,973.39
181544627,commercial,1615.25,14,1025.26
181695458,commercial,1504.5,14,860.23
181695461,commercial,1671.58,14,909.48
181699297,commercial,1968.5,14,1103.51
182038132,residential,263.14,19,167.35
182175815,residential,382.34,19,243.91
182175819,commercial,1873.73,14,1044.71
182177274,residential,414.48,19,288.68
182486346,commercial,1265.82,14,812.38
182819734,commercial,1722.16,14,978.27
184387456,residential,309.49,19,182.46
184759328,commercial,1151.61,14,700.63
184946109,residential,343.78,19,240.37
185975068,residential,398.64,19,255.76
185975845,residential,410.82,19,237.0
185977461,residential,234.91,19,156.29
186248629,residential,470.87,19,248.93
186866772,residential,257.42,19,161.52
187400967,residential,422.12,19,226.24
187765472,residential,258.84,19,133.51
187765614,residential,328.28,19,190.34
187767259,residential,282.61,19,151.39
188171495,residential,462.15,19,263.99
188208032,residential,367.62,19,184.06
188209553,residential,229.3,19,146.9
188212105,residential,208.0,19,112.17
188430969,residential,395.18,19,226.96
188431718,commercial,1089.93,14,632.85
188434386,residential,205.45,19,105.42
188623964,residential,404.18,19,272.68
188893527,residential,431.95,19,220.53
188895370,commercial,1655.44,14,1009.48
189046488,residential,205.88,19,143.85
190141669,residential,294.92,19,172.9
190144812,commercial,1365.69,14,762.17
190144828,residential,253.73,19,162.38
190387170,residential,446.68,19,249.64
191035688,commercial,1144.02,14,756.94
191035693,residential,283.16,19,171.33
192032069,commercial,1648.8,14,981.18
192032074,commercial,854.38,14,475.77
193664737,residential,460.17,19,303.09
194059735,residential,485.2,19,257.18
194580931,residential,489.87,19,275.93
194600686,residential,266.06,19,160.15
195278102,residential,213.92,19,109.56
195842851,residential,392.17,19,199.57
196302460,residential,273.55,19,146.27
197986146,residential,394.71,19,263.92
198048173,residential,293.78,19,171.63
200130973,residential,385.03,19,254.62
200750242,commercial,1010.15,14,663.82
201253299,commercial,972.41,14,561.23
201762062,residential,290.33,19,190.45
202063467,residential,312.87,19,184.71
202063468,residential,229.93,19,155.66
202063469,residential,353.2,19,197.52
202063472,residential,255.11,19,138.94
202662174,residential,242.67,19,140.36
204266412,commercial,1064.78,14,703.05
204414356,commercial,1639.4,14,1028.29
208686727,commercial,1715.2,14,1195.9
208686729,commercial,1749.04,14,974.12
208686730,residential,200.31,19,116.29
208693358,commercial,801.71,14,461.87
208693753,commercial,1597.44,14,821.77
208697532,commercial,994.66,14,591.95
208697536,commercial,1956.82,14,1184.33
208699640,commercial,1336.9,14,839.85
208699641,residential,486.4,19,307.64
208699642,residential,429.12,19,217.08
208699644,commercial,1848.78,14,997.65
208699646,commercial,1431.19,14,798.14
208699647,commercial,1693.12,14,1084.53
208701340,commercial,894.21,14,460.7
208701341,residential,482.12,19,243.63
208701342,residential,318.27,19,193.7
208701343,commercial,938.42,14,633.72
208701345,commercial,1507.84,14,961.56
208701346,commercial,1549.74,14,872.09
208701347,commercial,1143.4,14,658.55
208701348,commercial,1775.74,14,1085.2
208745482,commercial,1231.09,14,692.59
208745483,commercial,892.97,14,501.21
208745487,commercial,1931.91,14,1074.1
208745488,commercial,987.91,14,656.04
208745491,commercial,1458.57,14,820.96
208745493,commercial,1269.1,14,865.87
208746625,residential,379.81,19,221.52
208746626,residential,426.61,19,261.38
208746628,residential,338.47,19,175.33
208746629,commercial,800.92,14,468.73
208746630,commercial,1893.46,14,1280.77
208827398,commercial,1804.7,14,1176.29
208827401,commercial,1384.23,14,779.76
208827402,commercial,1743.94,14,967.5
208827403,commercial,1087.01,14,619.81
208827405,commercial,1915.53,14,1156.18
208827406,commercial,1458.25,14,1007.45
208827407,commercial,1108.53,14,728.56
208827410,commercial,1477.85,14,930.65
208827413,commercial,1106.28,14,766.04
208957570,residential,367.5,19,243.38
215972588,residential,320.2,19,202.89
217529756,residential,483.21,19,290.59
217536629,residential,329.8,19,215.36
217566868,residential,200.33,19,138.83
217566878,commercial,1251.03,14,864.51
217566879,commercial,1695.98,14,1020.25
217566881,commercial,1611.37,14,1041.03
217566882,commercial,882.81,14,605.2
217566884,commercial,1888.28,14,1063.84
217566885,commercial,891.77,14,591.43
217566886,commercial,955.98,14,634.37
217566887,residential,342.36,19,232.56
217572291,commercial,1976.04,14,1153.21
217572292,commercial,1696.35,14,945.6
218642149,commercial,1501.18,14,1021.23
218907532,residential,441.93,19,223.68
218907558,residential,297.86,19,157.68
218907561,residential,391.72,19,230.16
218907562,commercial,1685.15,14,910.51
218911639,residential,281.76,19,170.19
