_id,connectionTime,kWhDelivered,duration_hours,siteID
sess_158,2024-02-02T19:32:00Z,23.55,6.33,proxy_site
sess_159,2024-03-21T15:54:00Z,27.38,7.29,proxy_site
sess_160,2024-03-07T17:43:00Z,30.41,7.04,proxy_site
sess_161,2024-03-30T16:00:00Z,41.35,9.14,proxy_site
sess_162,2024-01-24T18:24:00Z,23.26,4.21,proxy_site
sess_163,2024-03-27T19:34:00Z,7.13,5.28,proxy_site
sess_164,2024-03-06T14:38:00Z,43.12,7.72,proxy_site
sess_165,2024-03-26T15:09:00Z,15.0,9.34,proxy_site
sess_166,2024-03-04T21:19:00Z,32.02,8.06,proxy_site
sess_167,2024-02-16T15:10:00Z,13.24,9.08,proxy_site
sess_168,2024-02-25T22:27:00Z,30.17,6.47,proxy_site
sess_169,2024-01-18T17:02:00Z,41.0,3.46,proxy_site
sess_170,2024-01-17T12:33:00Z,41.0,9.61,proxy_site
sess_171,2024-01-24T17:07:00Z,18.16,9.19,proxy_site
sess_172,2024-01-11T18:36:00Z,37.76,2.39,proxy_site
sess_173,2024-02-03T15:45:00Z,32.58,7.64,proxy_site
sess_174,2024-02-04T14:04:00Z,43.37,3.56,proxy_site
sess_175,2024-03-01T17:56:00Z,31.99,7.27,proxy_site
sess_176,2024-02-20T16:59:00Z,45.65,6.98,proxy_site
sess_177,2024-03-01T15:03:00Z,24.26,8.96,proxy_site
sess_178,2024-03-23T17:12:00Z,42.85,9.71,proxy_site
sess_179,2024-01-10T16:32:00Z,18.69,9.15,proxy_site
sess_180,2024-01-16T18:45:00Z,26.81,8.51,proxy_site
sess_181,2024-02-12T18:02:00Z,31.27,7.93,proxy_site
sess_182,2024-02-21T18:01:00Z,8.27,4.6,proxy_site
sess_183,2024-01-31T15:24:00Z,25.83,6.62,proxy_site
sess_184,2024-02-19T16:33:00Z,11.58,7.63,proxy_site
sess_185,2024-01-17T18:41:00Z,40.34,3.38,proxy_site
sess_186,2024-03-16T15:45:00Z,5.17,3.04,proxy_site
sess_187,2024-03-13T17:05:00Z,7.02,9.93,proxy_site
sess_188,2024-02-22T16:38:00Z,27.81,3.4,proxy_site
sess_189,2024-01-22T16:00:00Z,33.14,3.5,proxy_site
sess_190,2024-03-02T19:36:00Z,19.87,5.05,proxy_site
sess_191,2024-03-01T20:38:00Z,44.0,2.5,proxy_site
sess_192,2024-03-04T15:57:00Z,34.01,4.36,proxy_site
sess_193,2024-03-10T19:10:00Z,19.59,2.96,proxy_site
sess_194,2024-02-27T17:07:00Z,48.26,7.67,proxy_site
sess_195,2024-03-02T19:33:00Z,17.31,5.56,proxy_site
sess_196,2024-03-08T22:47:00Z,35.25,6.25,proxy_site
sess_197,2024-02-13T20:28:00Z,30.77,3.38,proxy_site
sess_198,2024-02-18T16:05:00Z,31.64,3.72,proxy_site
sess_199,2024-03-01T14:00:00Z,29.71,3.41,proxy_site
sess_200,2024-03-13T18:47:00Z,12.52,8.6,proxy_site
sess_201,2024-01-05T16:22:00Z,25.15,6.33,proxy_site
sess_202,2024-01-05T17:58:00Z,44.6,5.08,proxy_site
sess_203,2024-03-13T18:17:00Z,43.57,4.77,proxy_site
sess_204,2024-02-13T17:57:00Z,21.62,4.51,proxy_site
sess_205,2024-01-03T18:17:00Z,39.59,8.44,proxy_site
sess_206,2024-03-01T19:25:00Z,12.44,5.85,proxy_site
sess_207,2024-02-22T15:01:00Z,18.43,3.18,proxy_site
sess_208,2024-01-10T15:57:00Z,13.91,7.15,proxy_site
sess_209,2024-01-15T19:01:00Z,21.66,4.6,proxy_site
sess_210,2024-02-12T17:55:00Z,42.43,3.84,proxy_site
sess_211,2024-03-19T15:37:00Z,9.2,5.65,proxy_site
sess_212,2024-03-28T19:02:00Z,31.93,9.3,proxy_site
sess_213,2024-01-21T17:27:00Z,6.93,5.9,proxy_site
sess_214,2024-01-12T18:56:00Z,47.41,4.21,proxy_site
sess_215,2024-02-19T16:12:00Z,19.93,4.18,proxy_site
sess_216,2024-02-20T15:51:00Z,41.15,5.91,proxy_site
sess_217,2024-02-10T16:45:00Z,40.09,3.6,proxy_site
sess_218,2024-03-16T20:57:00Z,24.41,7.23,proxy_site
sess_219,2024-03-24T18:15:00Z,45.29,7.41,proxy_site
sess_220,2024-02-23T18:08:00Z,26.93,8.13,proxy_site
sess_221,2024-02-22T15:25:00Z,10.03,5.05,proxy_site
sess_222,2024-03-25T15:27:00Z,49.45,9.1,proxy_site
sess_223,2024-02-24T18:16:00Z,48.65,4.7,proxy_site
sess_224,2024-03-15T14:59:00Z,17.66,3.77,proxy_site
sess_225,2024-03-04T18:11:00Z,45.45,3.9,proxy_site
sess_226,2024-02-03T19:29:00Z,46.71,5.31,proxy_site
sess_227,2024-01-26T17:05:00Z,42.99,5.41,proxy_site
sess_228,2024-01-14T19:06:00Z,20.48,5.58,proxy_site
sess_229,2024-03-15T14:38:00Z,40.92,2.78,proxy_site
sess_230,2024-02-23T16:17:00Z,12.75,6.0,proxy_site
sess_231,2024-02-28T17:37:00Z,18.18,2.41,proxy_site
sess_232,2024-01-20T17:10:00Z,31.64,7.38,proxy_site
sess_233,2024-01-26T17:39:00Z,17.32,9.69,proxy_site
sess_234,2024-01-17T18:34:00Z,22.99,4.92,proxy_site
sess_235,2024-02-06T20:45:00Z,14.16,2.7,proxy_site
sess_236,2024-01-08T16:29:00Z,23.59,7.32,proxy_site
sess_237,2024-02-17T20:07:00Z,32.38,3.31,proxy_site
sess_238,2024-02-21T13:17:00Z,21.15,9.03,proxy_site
sess_239,2024-02-05T16:08:00Z,14.46,7.54,proxy_site
sess_240,2024-03-06T17:49:00Z,46.05,8.07,proxy_site
sess_241,2024-03-05T19:23:00Z,44.16,9.43,proxy_site
sess_242,2024-03-25T19:24:00Z,33.36,7.93,proxy_site
sess_243,2024-01-15T17:17:00Z,48.86,2.53,proxy_site
sess_244,2024-03-09T17:18:00Z,44.71,7.08,proxy_site
sess_245,2024-03-07T19:06:00Z,14.8,2.0,proxy_site
sess_246,2024-01-09T19:38:00Z,37.41,3.17,proxy_site
sess_247,2024-02-28T21:01:00Z,5.45,3.38,proxy_site
sess_248,2024-02-12T17:34:00Z,24.38,5.18,proxy_site
sess_249,2024-01-07T19:26:00Z,42.91,8.42,proxy_site
sess_250,2024-03-22T18:00:00Z,33.76,7.83,proxy_site
sess_251,2024-02-20T18:27:00Z,38.59,4.78,proxy_site
sess_252,2024-01-25T16:08:00Z,26.23,5.88,proxy_site
sess_253,2024-02-14T19:50:00Z,22.69,7.08,proxy_site
sess_254,2024-01-11T16:42:00Z,39.46,7.95,proxy_site
sess_255,2024-02-16T16:52:00Z,36.75,5.72,proxy_site
sess_256,2024-03-17T19:00:00Z,12.48,2.51,proxy_site
sess_257,2024-03-09T22:40:00Z,47.46,3.03,proxy_site
sess_258,2024-01-08T23:06:00Z,27.57,4.17,proxy_site
sess_259,2024-01-31T20:33:00Z,5.36,2.33,proxy_site
sess_260,2024-02-03T18:41:00Z,22.93,9.31,proxy_site
sess_261,2024-01-25T18:19:00Z,47.71,8.71,proxy_site
sess_262,2024-03-14T14:32:00Z,15.12,2.02,proxy_site
sess_263,2024-02-28T20:43:00Z,27.97,6.47,proxy_site
sess_264,2024-01-13T19:15:00Z,16.93,3.06,proxy_site
sess_265,2024-01-21T17:32:00Z,9.57,3.51,proxy_site
sess_266,2024-01-16T16:23:00Z,27.95,6.26,proxy_site
sess_267,2024-02-24T19:14:00Z,34.14,7.0,proxy_site
sess_268,2024-02-15T18:11:00Z,5.12,9.81,proxy_site
sess_269,2024-03-10T17:44:00Z,45.46,2.35,proxy_site
sess_270,2024-01-18T18:03:00Z,28.5,3.02,proxy_site
sess_271,2024-02-03T18:19:00Z,5.43,8.41,proxy_site
sess_272,2024-03-05T13:30:00Z,23.78,9.13,proxy_site
sess_273,2024-01-02T19:49:00Z,22.53,2.33,proxy_site
sess_274,2024-03-02T21:50:00Z,9.61,7.47,proxy_site
sess_275,2024-03-26T21:29:00Z,7.96,8.82,proxy_site
sess_276,2024-01-29T19:24:00Z,10.8,8.02,proxy_site
sess_277,2024-03-04T20:00:00Z,5.28,6.61,proxy_site
sess_278,2024-01-05T18:05:00Z,38.56,7.27,proxy_site
sess_279,2024-03-30T19:23:00Z,14.51,5.18,proxy_site
sess_280,2024-03-30T18:16:00Z,26.29,9.03,proxy_site
sess_281,2024-03-20T18:26:00Z,32.55,6.14,proxy_site
sess_282,2024-03-02T18:11:00Z,7.06,3.44,proxy_site
sess_283,2024-01-19T15:15:00Z,34.51,8.61,proxy_site
sess_284,2024-03-26T19:13:00Z,10.16,3.09,proxy_site
sess_285,2024-02-22T19:30:00Z,11.87,6.12,proxy_site
sess_286,2024-02-22T20:25:00Z,13.96,9.6,proxy_site
sess_287,2024-03-23T19:19:00Z,32.39,6.44,proxy_site
sess_288,2024-01-16T12:57:00Z,34.89,7.17,proxy_site
sess_289,2024-02-20T19:03:00Z,38.71,3.62,proxy_site
sess_290,2024-03-28T14:05:00Z,40.32,5.68,proxy_site
sess_291,2024-01-07T19:34:00Z,35.97,4.64,proxy_site
sess_292,2024-02-18T17:23:00Z,11.58,4.91,proxy_site
sess_293,2024-03-27T23:24:00Z,20.58,5.82,proxy_site
sess_294,2024-01-09T19:34:00Z,24.75,8.1,proxy_site
sess_295,2024-03-09T17:08:00Z,19.21,4.43,proxy_site
sess_296,2024-02-04T20:44:00Z,46.93,6.76,proxy_site
sess_297,2024-01-23T16:44:00Z,49.07,8.94,proxy_site
sess_298,2024-02-06T17:52:00Z,24.77,6.18,proxy_site
sess_299,2024-02-13T19:01:00Z,20.95,8.03,proxy_site
sess_300,2024-02-25T17:48:00Z,24.58,5.88,proxy_site
sess_301,2024-01-08T20:26:00Z,30.35,4.37,proxy_site
sess_302,2024-02-26T14:42:00Z,21.15,5.24,proxy_site
sess_303,2024-03-18T20:02:00Z,6.28,7.25,proxy_site
sess_304,2024-03-05T16:20:00Z,18.14,4.53,proxy_site
sess_305,2024-02-21T21:04:00Z,42.83,7.29,proxy_site
sess_306,2024-03-16T19:04:00Z,28.84,3.85,proxy_site
sess_307,2024-02-05T15:14:00Z,13.42,2.29,proxy_site
sess_308,2024-03-01T18:24:00Z,9.18,7.01,proxy_site
sess_309,2024-02-16T18:17:00Z,36.81,7.56,proxy_site
sess_310,2024-03-21T18:34:00Z,26.45,5.24,proxy_site
sess_311,2024-01-07T15:49:00Z,33.64,2.21,proxy_site
sess_312,2024-03-08T13:56:00Z,19.01,6.27,proxy_site
sess_313,2024-03-23T16:41:00Z,39.6,9.6,proxy_site
sess_314,2024-02-04T16:42:00Z,8.53,9.15,proxy_site
sess_315,2024-02-21T16:43:00Z,20.45,8.91,proxy_site
sess_316,2024-03-30T20:02:00Z,10.78,8.8,proxy_site
sess_317,2024-02-17T20:16:00Z,10.17,6.61,proxy_site
sess_318,2024-03-19T17:21:00Z,41.05,8.91,proxy_site
sess_319,2024-03-20T19:25:00Z,23.6,3.36,proxy_site
sess_320,2024-03-19T17:41:00Z,9.57,8.89,proxy_site
sess_321,2024-01-03T15:53:00Z,49.69,5.4,proxy_site
sess_322,2024-01-25T14:47:00Z,28.61,2.24,proxy_site
sess_323,2024-03-22T19:56:00Z,29.62,5.25,proxy_site
sess_324,2024-03-09T15:20:00Z,16.86,7.5,proxy_site
sess_325,2024-01-09T18:41:00Z,16.49,3.17,proxy_site
sess_326,2024-01-12T19:30:00Z,18.01,4.76,proxy_site
sess_327,2024-01-20T20:30:00Z,17.46,7.31,proxy_site
sess_328,2024-02-04T17:05:00Z,26.65,5.86,proxy_site
sess_329,2024-02-27T18:42:00Z,43.13,4.53,proxy_site
sess_330,2024-02-12T18:14:00Z,12.39,7.45,proxy_site
sess_331,2024-01-21T18:47:00Z,9.03,7.17,proxy_site
sess_332,2024-02-19T15:05:00Z,9.58,4.53,proxy_site
sess_333,2024-02-02T17:56:00Z,21.32,5.99,proxy_site
sess_334,2024-01-04T18:41:00Z,12.71,2.75,proxy_site
sess_335,2024-03-17T16:07:00Z,30.42,9.0,proxy_site
sess_336,2024-03-07T15:54:00Z,7.76,2.8,proxy_site
sess_337,2024-02-07T18:46:00Z,19.86,3.1,proxy_site
sess_338,2024-01-11T16:44:00Z,28.44,5.5,proxy_site
sess_339,2024-03-20T18:46:00Z,20.08,6.7,proxy_site
sess_340,2024-01-30T19:04:00Z,42.05,5.43,proxy_site
sess_341,2024-03-10T18:26:00Z,29.34,8.72,proxy_site
sess_342,2024-03-19T17:56:00Z,34.71,2.81,proxy_site
sess_343,2024-03-18T18:51:00Z,48.99,6.82,proxy_site
sess_344,2024-02-12T14:22:00Z,25.96,3.91,proxy_site
sess_345,2024-03-01T16:21:00Z,17.93,6.53,proxy_site
sess_346,2024-01-15T19:35:00Z,5.83,7.03,proxy_site
sess_347,2024-01-02T19:44:00Z,33.22,8.52,proxy_site
sess_348,2024-03-08T17:58:00Z,27.45,4.85,proxy_site
sess_349,2024-01-11T16:27:00Z,42.54,9.86,proxy_site
sess_350,2024-01-20T17:18:00Z,12.22,6.64,proxy_site
sess_351,2024-01-13T17:49:00Z,49.42,6.42,proxy_site
sess_352,2024-02-14T20:29:00Z,22.8,4.49,proxy_site
sess_353,2024-03-07T14:58:00Z,42.67,4.85,proxy_site
sess_354,2024-01-13T18:43:00Z,49.04,9.61,proxy_site
sess_355,2024-03-26T18:03:00Z,14.54,2.95,proxy_site
sess_356,2024-03-03T18:51:00Z,47.22,5.11,proxy_site
sess_357,2024-02-11T18:36:00Z,22.3,3.25,proxy_site
sess_358,2024-03-05T17:36:00Z,39.51,8.89,proxy_site
sess_359,2024-01-15T19:26:00Z,15.41,9.05,proxy_site
sess_360,2024-03-19T15:37:00Z,38.54,6.27,proxy_site
sess_361,2024-01-10T18:19:00Z,28.78,6.24,proxy_site
sess_362,2024-02-12T20:53:00Z,37.39,8.53,proxy_site
sess_363,2024-02-22T18:40:00Z,7.98,6.22,proxy_site
sess_364,2024-01-06T15:58:00Z,16.1,4.07,proxy_site
sess_365,2024-01-11T19:26:00Z,41.79,4.23,proxy_site
sess_366,2024-01-29T16:36:00Z,44.41,6.15,proxy_site
sess_367,2024-03-04T20:36:00Z,5.03,9.52,proxy_site
sess_368,2024-03-18T14:59:00Z,14.48,2.38,proxy_site
sess_369,2024-01-18T16:45:00Z,14.77,3.32,proxy_site
sess_370,2024-01-04T17:05:00Z,15.22,6.84,proxy_site
sess_371,2024-01-13T17:55:00Z,42.4,3.22,proxy_site
sess_372,2024-02-19T18:53:00Z,42.2,6.55,proxy_site
sess_373,2024-01-06T18:12:00Z,20.83,6.14,proxy_site
sess_374,2024-03-30T17:49:00Z,20.01,2.4,proxy_site
sess_375,2024-02-27T20:20:00Z,49.88,8.43,proxy_site
sess_376,2024-02-01T19:44:00Z,19.09,6.45,proxy_site
sess_377,2024-02-29T20:10:00Z,25.2,3.08,proxy_site
sess_378,2024-02-13T18:08:00Z,26.36,2.1,proxy_site
sess_379,2024-01-26T16:32:00Z,9.58,6.58,proxy_site
sess_380,2024-01-08T19:01:00Z,35.36,5.24,proxy_site
sess_381,2024-02-18T21:37:00Z,19.5,4.99,proxy_site
sess_382,2024-01-26T17:23:00Z,46.56,7.13,proxy_site
sess_383,2024-03-03T18:40:00Z,18.51,6.64,proxy_site
sess_384,2024-02-20T17:15:00Z,36.8,8.48,proxy_site
sess_385,2024-01-11T17:17:00Z,24.49,7.25,proxy_site
sess_386,2024-02-16T16:21:00Z,30.35,7.56,proxy_site
sess_387,2024-01-04T21:52:00Z,16.87,2.85,proxy_site
sess_388,2024-02-10T18:09:00Z,41.05,9.57,proxy_site
sess_389,2024-03-28T18:51:00Z,5.57,7.56,proxy_site
sess_390,2024-02-18T20:41:00Z,24.46,7.92,proxy_site
sess_391,2024-01-26T16:58:00Z,21.36,3.87,proxy_site
sess_392,2024-02-06T17:24:00Z,6.07,7.87,proxy_site
sess_393,2024-01-28T18:15:00Z,38.65,2.94,proxy_site
sess_394,2024-02-28T16:17:00Z,34.89,4.39,proxy_site
sess_395,2024-03-03T17:26:00Z,12.54,4.98,proxy_site
sess_396,2024-03-05T17:53:00Z,23.15,5.76,proxy_site
sess_397,2024-03-13T19:45:00Z,41.56,6.74,proxy_site
sess_398,2024-02-22T17:04:00Z,42.63,6.6,proxy_site
sess_399,2024-02-02T20:36:00Z,24.8,5.84,proxy_site
sess_400,2024-03-03T18:09:00Z,28.99,5.36,proxy_site
sess_401,2024-03-27T13:29:00Z,41.75,2.53,proxy_site
sess_402,2024-01-02T18:07:00Z,9.47,4.5,proxy_site
sess_403,2024-03-13T18:30:00Z,5.18,2.06,proxy_site
sess_404,2024-03-09T15:41:00Z,48.41,4.23,proxy_site
sess_405,2024-01-27T20:06:00Z,15.32,3.54,proxy_site
sess_406,2024-01-27T21:06:00Z,27.12,5.88,proxy_site
sess_407,2024-03-19T15:59:00Z,32.78,9.5,proxy_site
sess_408,2024-03-21T19:29:00Z,36.02,4.32,proxy_site
sess_409,2024-02-05T21:25:00Z,37.99,7.53,proxy_site
